Id,Accidents,Body_type,Year,Fuel_economy_combined,Days_on_market,Rating,Distance,Color,Drivetrain,Engine,Make,Mileage,Model,Transmission,Additional_features,Previous_owners,Price_drops,Photos,Seats,Seller_type,Trim,Price
274543740,0,SUV / Crossover,2016,32 MPG,1,FAIR_PRICE,130.3282,BLUE,FRONT_WHEEL_DRIVE,I4,Mazda,77814,CX-3,6-Speed Automatic,4,1,,True,5,DEALER,Grand Touring,15038.0
272383091,0,SUV / Crossover,2018,27 MPG,30,FAIR_PRICE,189.21472,SILVER,,I4,Mazda,35863,CX-5,Automatic,7,3,,True,5,DEALER,Grand Touring AWD,23997.0
274460593,0,SUV / Crossover,2016,27 MPG,1,FAIR_PRICE,7.6288047,WHITE,ALL_WHEEL_DRIVE,I4,Mazda,19433,CX-5,6-Speed Automatic,3,1,,True,5,DEALER,Sport AWD,16577.0
272180214,0,SUV / Crossover,2006,,34,NA,186.481,BROWN,,,Mazda,122462,Tribute,,1,2,,,,DEALER,GS V6,4995.0
273857179,1,SUV / Crossover,2011,19 MPG,9,NA,45.34964,UNKNOWN,ALL_WHEEL_DRIVE,V6,Mazda,,CX-9,Automatic,3,3,,,7,DEALER,Touring AWD,4995.0
269364416,0,SUV / Crossover,2007,19 MPG,88,NA,104.83659,GRAY,FRONT_WHEEL_DRIVE,I4,Mazda,116863,CX-7,Automatic,1,1,,True,5,DEALER,Sport,5399.0
264210037,0,SUV / Crossover,2008,19 MPG,146,NA,12.99084,SILVER,ALL_WHEEL_DRIVE,I4,Mazda,108000,CX-7,6-Speed Automatic,2,5,,True,5,DEALER,Sport AWD,5495.0
272834487,1,SUV / Crossover,2008,18 MPG,23,NA,25.532425,BLACK,ALL_WHEEL_DRIVE,V6,Mazda,119146,CX-9,6-Speed Automatic,3,5,,True,7,DEALER,Touring 4WD,6990.0
271770001,1,SUV / Crossover,2010,24 MPG,41,NA,30.42832,UNKNOWN,FRONT_WHEEL_DRIVE,I4,Mazda,59835,CX-7,Automatic,2,2,,True,5,DEALER,i Sport,6995.0
273955549,,SUV / Crossover,2013,28 MPG,8,NA,62.548386,BLUE,ALL_WHEEL_DRIVE,I4,Mazda,67519,CX-5,6-Speed Automatic,3,5,,True,5,DEALER,Touring AWD,12677.0
